sentence,emotion
completely unexpectedly I felt caught off guard because I received unexpected good news late at night; I stared at it for a few seconds.,suprise
I was shocked because my friend showed up with a gift for no reason at school this evening; for a moment I just froze.,suprise
a stranger paid for my coffee late at night right before I left; my cousin felt in disbelief immediately.,suprise
my teammate felt amazed after my refund was processed the same day today.,suprise
my classmate did not expect it at all: my doctor said the results were normal earlier and felt speechless.,suprise
in a split second my friend felt totally surprised because the teacher canceled the surprise quiz at the station; my jaw dropped for a second.,suprise
just then the professor announced bonus points for everyone this morning and we felt stunned.,suprise
I was surprised and curious because my reminder popped up at exactly the right time at the station right after I arrived; my jaw dropped for a second.,suprise
the taxi arrived in under a minute in the store this morning; my friend felt caught off guard immediately.,suprise
my doctor said the results were normal during a busy afternoon earlier; my sister felt taken aback immediately.,suprise
the cashier did not expect it at all: the app error fixed itself after restart this morning and felt startled.,suprise
We were caught off guard when the game ended with a dramatic comeback a few minutes ago.,suprise
to my surprise I received a handwritten thank-you card today and my coach felt totally surprised.,suprise
the manager approved my idea instantly at home right after I arrived; we felt amazed immediately.,suprise
When the website loaded instantly on a slow connection before class my teacher felt pleasantly surprised and paused for a second.,suprise
my mom did not expect it at all: I received unexpected good news last night and felt genuinely surprised.,suprise
We were totally surprised when the manager approved my idea instantly right before I left.,suprise
a few minutes ago my friend was speechless since the internet came back during my deadline on the train.,suprise
We were wide-eyed when the class ended early and everyone cheered last night.,suprise
I was stunned because the store clerk remembered my previous visit on my way back last night; I paused and checked again to be sure.,suprise
When an old photo reminded me of a forgotten trip at work my sister felt speechless and paused for a second.,suprise
I was momentarily frozen because my name was called as the winner in the store right before I left; I paused and checked again to be sure.,suprise
We were surprised beyond words when the server recovered before anyone noticed right before I left.,suprise
the doctor felt stunned when I got accepted on my first try at the station last night; I was not prepared for that at all.,suprise
the printer worked on the first attempt late at night just now; we felt stunned immediately.,suprise
without warning my coach felt startled because my flight got upgraded at the gate on my way back; it felt like a plot twist in real life.,suprise
as if by magic my friend showed up with a gift for no reason this evening and my cousin felt caught off guard.,suprise
from one moment to the next the host called my name first just now and our neighbor felt totally surprised.,suprise
to my surprise my teammate felt totally surprised because the song changed right when I thought of it while waiting in line; for a moment I just froze.,suprise
the meeting ended in ten minutes at work this evening; my teammate felt genuinely surprised immediately.,suprise
for no reason I could see we felt in disbelief because the meeting ended in ten minutes in the store; I did not see that coming at all.,suprise
the store clerk remembered my previous visit while waiting in line right after I arrived; my coach felt surprised and curious immediately.,suprise
a few minutes ago my teammate was caught off guard since I guessed the answer and got it right at school.,suprise
When my parcel included a handwritten thank-you note at work my classmate felt momentarily frozen and paused for a second.,suprise
our neighbor felt caught off guard when my name was called as the winner at home right before I left; I did not see that coming at all.,suprise
this morning my brother was amazed since someone remembered my birthday before I did at home.,suprise
today my coach was startled since my train showed up on time for once during a busy afternoon.,suprise
without warning my teammate felt taken aback because I guessed the answer and got it right at home; it felt like a plot twist in real life.,suprise
my manager felt pleasantly surprised when the lights came back on by themselves early in the morning just now; it completely changed my mood.,suprise
right at that moment the taxi arrived in under a minute this evening and my classmate felt genuinely surprised.,suprise
out of nowhere I found the answer at the top of the notes earlier and my teacher felt genuinely surprised.,suprise
we felt in disbelief when the support team solved my issue in minutes during a busy afternoon right before I left; I was not prepared for that at all.,suprise
we did not expect it at all: I won a giveaway I forgot I entered right after I arrived and felt momentarily frozen.,suprise
in a split second my teammate felt surprised and curious because I found money in a coat I never use at home; I needed a second to process it.,suprise
We were pleasantly surprised when I won a giveaway I forgot I entered right after I arrived.,suprise
I was startled because the app error fixed itself after restart at the station this evening; it caught me totally off guard.,suprise
without warning the maintenance issue resolved itself overnight earlier and our neighbor felt startled.,suprise
just then I felt wide-eyed because my reminder popped up at exactly the right time at school; I had to read it twice to believe it.,suprise
my flight got upgraded at the gate at school this evening; my cousin felt surprised and curious immediately.,suprise
When the deadline got extended by a week late at night my dad felt momentarily frozen and paused for a second.,suprise
We were momentarily frozen when the maintenance issue resolved itself overnight this morning.,suprise
my mom did not expect it at all: my name was called as the winner last night and felt genuinely surprised.,suprise
for no reason I could see the app error fixed itself after restart last night and my teacher felt startled.,suprise
I was stunned because my train showed up on time for once during lunch last night; I paused and checked again to be sure.,suprise
I felt speechless when my interview started with a friendly joke in the store this afternoon; I paused and checked again to be sure.,suprise
this afternoon my coach was shocked since I got moved to a window seat at school.,suprise
I was in disbelief because I found the answer at the top of the notes during lunch this afternoon; I stared at it for a few seconds.,suprise
my dad felt surprised and curious when my package arrived two days early at home this evening; I just stood there in disbelief.,suprise
right at that moment the cashier felt wide-eyed because I guessed the answer and got it right on the train; it caught me totally off guard.,suprise
my manager did not expect it at all: a stranger paid for my coffee a few minutes ago and felt speechless.,suprise
the bill was lower than I expected during lunch today; my mom felt genuinely surprised immediately.,suprise
this evening my teammate was totally surprised since I was offered help before I asked during a busy afternoon.,suprise
the door opened right as I reached for my keys in the store this morning; I felt pleasantly surprised immediately.,suprise
from one moment to the next the final score changed in the last second right before I left and the cashier felt pleasantly surprised.,suprise
When the interview turned out friendly and easy in the store I felt speechless and paused for a second.,suprise
for no reason I could see my classmate felt surprised beyond words because the game ended with a dramatic comeback during lunch; I just stood there in disbelief.,suprise
I was caught off guard because the call connected immediately without waiting at work a few minutes ago; it completely changed my mood.,suprise
my cousin felt genuinely surprised when I received a handwritten thank-you card late at night this evening; it caught me totally off guard.,suprise
When the maintenance issue resolved itself overnight while waiting in line my classmate felt surprised and curious and paused for a second.,suprise
right at that moment my dad felt startled because I discovered my favorite snack at a discount at the station; I laughed because it felt unreal.,suprise
without warning the door opened right as I reached for my keys this afternoon and my coach felt pleasantly surprised.,suprise
We were momentarily frozen when the waiter brought dessert for free last night.,suprise
the security check was unexpectedly quick during the meeting just now; my classmate felt startled immediately.,suprise
this afternoon my teacher was surprised beyond words since I found a seat on a fully crowded train early in the morning.,suprise
right at that moment my dad felt startled because the taxi arrived in under a minute at the station; I needed a second to process it.,suprise
my order arrived exactly as I imagined it at work this evening; my dad felt speechless immediately.,suprise
this evening my friend was surprised and curious since the queue moved faster than expected while waiting in line.,suprise
my colleague felt speechless after I received unexpected good news today.,suprise
to my surprise my classmate felt surprised beyond words because I got a callback the same day on my way back; it caught me totally off guard.,suprise
my coach felt taken aback when I found money in a coat I never use early in the morning just now; I stared at it for a few seconds.,suprise
I was surprised beyond words because my code passed all tests on the first run during the meeting right after I arrived; I was not prepared for that at all.,suprise
I was surprised and curious because my side project got featured online late at night just now; I stared at it for a few seconds.,suprise
right before I left my mom was amazed since my favorite book was available at the library early in the morning.,suprise
this evening my teammate was stunned since the deadline got extended by a week in the store.,suprise
for no reason I could see my parcel arrived exactly at my break time this evening and the doctor felt stunned.,suprise
my brother felt pleasantly surprised after the song changed right when I thought of it right before I left.,suprise
right after I arrived my classmate was momentarily frozen since the app error fixed itself after restart during lunch.,suprise
our neighbor felt totally surprised when the lights came back on by themselves early in the morning a few minutes ago; it completely changed my mood.,suprise
my coach felt surprised and curious after the security check was unexpectedly quick this evening.,suprise
just then a stranger paid for my coffee a few minutes ago and my classmate felt pleasantly surprised.,suprise
my roommate did not expect it at all: my reminder popped up at exactly the right time right after I arrived and felt in disbelief.,suprise
We were pleasantly surprised when the venue was much better than expected just now.,suprise
we did not expect it at all: the class ended early and everyone cheered earlier and felt totally surprised.,suprise
When the class topic matched exactly what I prepared in the store our neighbor felt momentarily frozen and paused for a second.,suprise
this morning I was totally surprised since my train showed up on time for once before class.,suprise
I felt momentarily frozen when my order arrived exactly as I imagined it while waiting in line this afternoon; for a moment I just froze.,suprise
the maintenance issue resolved itself overnight at home just now; my brother felt stunned immediately.,suprise
without warning the security check was unexpectedly quick this morning and the cashier felt wide-eyed.,suprise
my dad did not expect it at all: I found the answer at the top of the notes right after I arrived and felt shocked.,suprise
our neighbor felt wide-eyed after the meeting ended in ten minutes this evening.,suprise
from one moment to the next my dad felt surprised beyond words because the app crash disappeared after one restart early in the morning; I had to read it twice to believe it.,suprise
the cashier felt startled when my friend showed up with a gift for no reason at school right before I left; I just stood there in disbelief.,suprise
When my payment went through after days of failure at the station I felt stunned and paused for a second.,suprise
my classmate did not expect it at all: the game ended with a dramatic comeback right after I arrived and felt in disbelief.,suprise
I was momentarily frozen because an old photo reminded me of a forgotten trip while waiting in line last night; it caught me totally off guard.,suprise
When my doctor said the results were normal at home my teammate felt surprised and curious and paused for a second.,suprise
We were taken aback when a stranger paid for my coffee this afternoon.,suprise
last night my teacher was totally surprised since the interview turned out friendly and easy while waiting in line.,suprise
